symbol;name;sector;PE;EPS;Price/book;regularMarketPrice;forwardPE;totalDebt;
ML.PA;Compagnie Générale des Etablissements Michelin;PAR;Rubber & Plastics;France;;;
DSY.PA;Dassault Systèmes SE;PAR;Technical & System Software;France;;;
AM.PA;Dassault Aviation S.A.;PAR;Aerospace/Defense - Major Diversified;France;;;
IMDA.PA;Immobiliere Dassault SA;PAR;REIT - Diversified;France;;;
DSYNV.PA;Dassault Systèmes SE;PAR;;France;;;
ALOBR.PA;Ober SA;PAR;General Building Materials;France;;;
JCQ.PA;Jacquet Metal Service SA;PAR;;France;;;
