Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
VGP;BE0003878957;VGP;"Euronext Brussels";EUR;246.00;246.50;240.50;244.00;"18/01/22 17:35";CET;10865;2641586.00
VIOHALCO;BE0974271034;VIO;"Euronext Brussels";EUR;4.75;4.79;4.75;4.785;"18/01/22 17:35";CET;9735;46590.10
VOLKSWAGEN;DE0007664005;VWA;"Traded not listed Brussels";EUR;275.00;275.00;267.00;267.00;"18/01/22 17:29";CET;786;211149.00
"VOLKSWAGEN PREF";DE0007664039;VWAP;"Traded not listed Brussels";EUR;190.00;191.34;189.50;191.34;"18/01/22 11:26";CET;118;22474.74
VRANKEN-POMMERY;FR0000062796;VRAP;"Euronext Paris, Brussels";EUR;18.40;18.55;18.00;18.10;"18/01/22 17:35";CET;5521;100521.20
"WAREHOUSES ESTATES";BE0003734481;WEB;"Euronext Brussels";EUR;42.30;43.10;42.10;43.10;"18/01/22 15:14";CET;510;21889.90
WDP;BE0974349814;WDP;"Euronext Brussels, Amsterdam";EUR;38.38;38.40;37.84;38.02;"18/01/22 17:35";CET;130794;4974853.76
"WERELDHAVE BELGIUM";BE0003724383;WEHB;"Euronext Brussels";EUR;51.70;52.00;51.40;52.00;"18/01/22 17:35";CET;3342;172988.80
"WHITESTONE GROUP";BE0974401334;ROCK;"Euronext Growth Brussels";EUR;11.50;11.50;11.50;11.50;"14/01/22 16:30";CET;100;1150.00
"WOL. EXTENS. CERT";BE0003600112;WOLE;"Euronext Brussels";EUR;7.20;7.20;7.20;7.20;"10/01/22 16:30";CET;66;475.20
"WOL. SHOPPING CERT";BE0003571792;WOLS;"Euronext Brussels";EUR;6.00;6.00;6.00;6.00;"18/01/22 11:30";CET;18;108.00
XIOR;BE0974288202;XIOR;"Euronext Brussels";EUR;49.70;49.85;48.20;48.25;"18/01/22 17:36";CET;26907;1307625.95
"ZENOBE GRAMME CERT";BE0003809267;ZEN;"Euronext Brussels";EUR;234.00;234.00;234.00;234.00;"18/01/22 16:30";CET;42;9828.00
